price,qty,timestamp,bs,ml,bucket
590.850000,3.706220,1527843837.438700,b,m,201806010903
590.850000,2.290000,1527843837.455500,b,m,201806010903
590.850000,6.710000,1527843837.459300,b,m,201806010903
590.850000,2.290000,1527843837.464200,b,m,201806010903
590.850000,6.710000,1527843837.468300,b,m,201806010903
590.850000,2.290000,1527843837.473400,b,m,201806010903
590.850000,6.710000,1527843837.476800,b,m,201806010903
590.850000,1.514174,1527843837.481500,b,m,201806010903
590.850000,0.775826,1527843837.487000,b,m,201806010903
590.850000,4.224174,1527843837.492200,b,m,201806010903
590.850000,4.775826,1527843837.497400,b,m,201806010903
590.850000,1.514174,1527843837.500800,b,m,201806010903
590.850000,5.000000,1527843837.504200,b,m,201806010903
590.850000,118.410821,1527843837.507700,b,m,201806010903
590.860000,0.044390,1527843837.511000,b,m,201806010903
590.860000,8.410727,1527843837.513500,b,m,201806010903
590.860000,11.075411,1527843837.522800,b,m,201806010903
590.860000,0.214589,1527843837.525700,b,m,201806010903
590.860000,8.475411,1527843837.533400,b,m,201806010903
590.860000,11.524589,1527843837.535800,b,m,201806010903
589.020000,0.100000,1527843837.541700,s,m,201806010903
590.860000,1.000000,1527843837.547200,b,m,201806010903
590.860000,1.440000,1527843837.553200,b,m,201806010903
590.860000,1.000000,1527843837.559100,b,m,201806010903
590.860000,0.500000,1527843837.562200,b,m,201806010903
590.860000,1.000000,1527843837.567900,b,m,201806010903
590.860000,1.000000,1527843837.571700,b,m,201806010903
590.860000,4.896168,1527843837.579200,b,m,201806010903
590.860000,0.277530,1527843837.583300,b,m,201806010903
590.860000,4.826302,1527843837.586900,b,m,201806010903
590.860000,29.000000,1527843837.593200,b,m,201806010903
590.860000,0.055000,1527843837.600000,b,m,201806010903
590.860000,0.945000,1527843837.604900,b,m,201806010903
590.860000,0.020000,1527843837.610300,b,m,201806010903
590.860000,0.020000,1527843837.616300,b,m,201806010903
590.850000,2.815933,1527843839.820300,b,m,201806010903
590.850000,0.031000,1527843839.825800,b,m,201806010903
590.850000,0.153067,1527843839.828900,b,m,201806010903
590.850000,2.846933,1527843840.325900,b,l,201806010904
590.850000,0.853067,1527843840.331500,b,l,201806010904
589.900000,0.920000,1527843841.727800,s,l,201806010904
589.890000,0.920000,1527843845.615900,b,l,201806010904
589.630000,3.700000,1527843846.538600,b,l,201806010904
589.180000,0.033000,1527843867.540900,b,l,201806010904
589.190000,0.200985,1527843867.555100,b,l,201806010904
589.190000,0.031000,1527843868.548100,s,l,201806010904
589.200000,0.051000,1527843875.870200,b,l,201806010904
589.440000,0.145911,1527843883.358500,b,l,201806010904
589.450000,0.033000,1527843883.365200,b,l,201806010904
589.460000,0.033000,1527843883.368700,b,l,201806010904
589.460000,2.222000,1527843883.372000,b,l,201806010904
589.470000,0.615089,1527843883.376000,b,l,201806010904
589.200000,0.320669,1527843885.862400,s,m,201806010904
589.200000,0.839432,1527843885.871000,s,m,201806010904
589.200000,0.000899,1527843885.872800,s,m,201806010904
589.230000,5.000000,1527843890.410300,s,l,201806010904
589.190000,3.967199,1527843890.432200,s,l,201806010904
589.150000,0.024000,1527843895.355900,b,l,201806010904
589.430000,0.029000,1527843895.472100,b,l,201806010904
589.460000,0.036000,1527843895.475800,b,l,201806010904
589.460000,0.855000,1527843895.478400,b,l,201806010904
589.400000,0.052438,1527843896.399100,s,l,201806010904
589.400000,0.020000,1527843896.741400,s,m,201806010904
589.410000,2.430400,1527843903.774300,s,l,201806010905
589.410000,2.569600,1527843905.292800,s,m,201806010905
589.400000,2.430400,1527843905.298100,s,m,201806010905
589.400000,0.811355,1527843907.710200,s,l,201806010905
589.440000,1.945018,1527843909.099800,b,l,201806010905
589.450000,0.029000,1527843909.106900,b,l,201806010905
589.450000,1.960296,1527843909.109500,b,l,201806010905
589.450000,5.000000,1527843909.111900,b,l,201806010905
589.450000,0.026000,1527843913.723200,s,l,201806010905
589.450000,0.200799,1527843916.038300,s,l,201806010905
589.450000,0.371900,1527843916.069700,s,l,201806010905
589.450000,0.466987,1527843916.440800,s,l,201806010905
589.200000,2.263848,1527843916.447200,s,l,201806010905
589.190000,0.173000,1527843916.450200,s,l,201806010905
589.190000,0.500000,1527843916.452500,s,l,201806010905
589.190000,0.300000,1527843916.454600,s,l,201806010905
589.190000,0.127000,1527843916.456700,s,l,201806010905
589.300000,0.386000,1527843922.121400,b,l,201806010905
589.020000,2.867000,1527843932.445500,s,l,201806010905
589.020000,0.034000,1527843932.451700,s,l,201806010905
589.020000,0.051000,1527843932.454800,s,l,201806010905
588.920000,0.920000,1527843941.319200,b,l,201806010905
588.920000,4.080000,1527843941.627500,b,l,201806010905
589.000000,0.026000,1527843941.630400,b,l,201806010905
589.000000,0.993054,1527843941.633100,b,l,201806010905
589.010000,3.900946,1527843941.635700,b,l,201806010905
589.010000,3.700000,1527843942.350900,b,l,201806010905
588.870000,0.085659,1527843973.915300,b,m,201806010906
588.870000,0.029000,1527843973.924400,b,m,201806010906
588.880000,0.024000,1527843973.928700,b,m,201806010906
588.890000,0.024000,1527843973.932500,b,m,201806010906
588.910000,0.029000,1527843973.935400,b,m,201806010906
589.000000,0.021000,1527843973.938300,b,m,201806010906
589.000000,0.033000,1527843973.941100,b,m,201806010906
589.240000,0.029000,1527843973.945900,b,m,201806010906
589.280000,0.021000,1527843973.949000,b,m,201806010906
589.430000,1.211071,1527843973.952400,b,m,201806010906
589.430000,1.493270,1527843973.956100,b,m,201806010906
588.490000,0.328524,1527843977.235200,s,l,201806010906
588.480000,1.909961,1527843977.240100,s,l,201806010906
588.860000,0.024000,1527843982.092500,b,m,201806010906
588.890000,0.024000,1527843982.115100,b,m,201806010906
589.450000,0.052000,1527843982.119100,b,m,201806010906
588.230000,0.043070,1527844025.863600,s,l,201806010907
587.900000,7.520000,1527844029.561700,s,l,201806010907
586.910000,5.000000,1527844041.847900,b,l,201806010907
587.710000,0.160000,1527844044.965900,b,l,201806010907
587.780000,0.057274,1527844044.969500,b,l,201806010907
587.790000,0.024000,1527844044.972100,b,l,201806010907
587.790000,0.008726,1527844044.975500,b,l,201806010907
586.910000,2.286000,1527844045.245100,s,m,201806010907
586.900000,0.043000,1527844045.248900,s,m,201806010907
586.700000,2.671000,1527844045.251400,s,m,201806010907
586.700000,0.788039,1527844052.031000,s,m,201806010907
586.700000,0.814117,1527844052.608000,s,l,201806010907
586.700000,1.685883,1527844052.612900,s,l,201806010907
586.700000,3.314117,1527844056.246800,s,m,201806010907
586.200000,0.098288,1527844056.250900,s,m,201806010907
585.550000,0.156000,1527844056.253800,s,m,201806010907
585.540000,6.431595,1527844056.257400,s,m,201806010907
585.540000,10.599405,1527844056.269800,s,m,201806010907
585.540000,7.945000,1527844056.273300,s,m,201806010907
585.530000,1.455595,1527844056.276200,s,m,201806010907
586.920000,0.026000,1527844061.903700,b,l,201806010907
586.920000,0.442852,1527844061.909700,b,l,201806010907
585.990000,0.050000,1527844072.680600,s,m,201806010907
585.850000,0.000000,1527844132.680600,s,l,201806010908
585.850000,0.000000,1527844192.680600,s,l,201806010909
